
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1975,1006.5,1006.9,1006.6,1007.8,1010.4,1011.4,1011.8,1011.3,1010.5,1008.9,1008.2,1005.6
1976,1005.1,1005.4,1005.6,1009.9,1012.0,1012.5,1014.2,1014.1,1013.0,1010.0,1007.7,1006.5
1977,1005.8,1005.6,1008.1,1009.2,1011.3,1013.5,1013.6,1013.6,1013.0,1012.3,1010.0,1008.1
1978,1008.2,1008.9,1009.5,1010.1,1009.3,1011.1,1011.3,1011.9,1011.6,1010.7,1009.5,1007.4
1979,1006.0,1006.9,1007.9,1009.7,1011.2,1012.6,1014.6,1013.3,1011.7,1011.0,1009.1,1008.5
1980,1005.9,1006.3,1007.2,1009.7,1011.3,1012.5,1013.2,1013.4,1012.7,1010.7,1009.1,1007.3
1981,1005.1,1006.2,1009.9,1009.9,1010.5,1011.5,1011.8,1012.4,1011.5,1011.1,1008.4,1007.5
1982,1006.5,1007.0,1007.5,1010.1,1011.9,1013.9,1014.5,1014.7,1014.3,1012.5,1011.1,1009.3
1983,1009.8,1010.3,1010.1,1010.1,1011.7,1013.3,1014.4,1014.1,1012.1,1010.5,1009.7,1008.5
1984,1007.1,1005.3,1008.1,1010.1,1011.1,1013.2,1013.2,1012.2,1011.7,1011.3,1009.3,1005.1
1985,1007.7,1005.4,1006.1,1007.5,1009.4,1012.6,1013.6,1012.4,1011.5,1010.7,1008.4,1007.6
1986,1004.7,1006.9,1008.4,1009.3,1011.6,1011.0,1012.8,1012.0,1012.2,1010.9,1009.3,1009.7
1987,1007.1,1007.4,1010.7,1011.5,1012.6,1013.1,1014.8,1014.3,1013.5,1011.2,1008.9,1007.8
1988,1007.8,1006.7,1006.8,1010.1,1010.8,1013.9,1012.8,1012.5,1010.6,1009.1,1007.4,1006.6
1989,1005.4,1006.8,1007.3,1007.6,1010.1,1012.8,1012.1,1013.3,1011.7,1009.9,1008.7,1008.8
1990,1006.9,1010.0,1008.3,1009.7,1010.3,1012.4,1012.8,1013.5,1013.3,1011.4,1009.1,1007.7
1991,1006.3,1006.5,1009.5,1009.9,1012.6,1013.3,1013.4,1014.0,1013.3,1011.1,1010.1,1008.5
1992,1010.1,1007.7,1010.5,1011.0,1011.1,1012.5,1014.7,1012.8,1011.2,1011.2,1009.5,1007.3
1993,1006.8,1006.4,1010.1,1011.4,1012.4,1013.9,1013.5,1015.1,1013.4,1012.0,1009.0,1007.0
1994,1006.7,1006.5,1009.4,1010.8,1012.0,1012.9,1014.1,1014.9,1013.5,1011.9,1009.8,1009.3
